[2023-08-21 01:59:33,311] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2023-08-21 02:33:55,348] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-08-21 02:33:57,499] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,539] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,577] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,579] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,610] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,649] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,677] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,710] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,745] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,779] INFO [Broker id=0] Leader notification-1 with topic id Some(G9uhyBWcTJ2Hu9VvUTe2iw) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,782] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,822] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,825] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,855] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,892] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,944] INFO [Broker id=0] Leader notification-0 with topic id Some(G9uhyBWcTJ2Hu9VvUTe2iw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,979] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:58,012] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:58,044] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:58,078] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:58,110] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:58,143] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:58,500] INFO [Broker id=0] Finished LeaderAndIsr request in 2397ms correlationId 1 from controller 0 for 54 partitions (state.change.logger)
[2023-08-21 02:33:58,519] INFO [Broker id=0] Add 54 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
